I_U,T_INT,seed,nodes_completed,sim_duration_s,fleet_distance_m,wall_time_s,error
0.050,3.000,0,112,1080.000,4141.790,31.350,
0.050,3.000,1,112,1080.000,4111.380,32.080,
0.050,3.000,2,108,1080.000,4091.920,31.270,
0.050,3.000,3,110,1080.000,3986.240,31.380,
0.050,3.000,4,117,1080.000,4390.260,32.990,
0.050,3.000,5,116,1080.000,4138.290,32.180,
0.050,3.000,6,110,1080.000,3994.690,33.650,
0.050,3.000,7,110,1080.000,4089.660,31.490,
0.050,3.000,8,110,1080.000,3981.460,30.680,
0.050,3.000,9,115,1080.000,4188.540,32.020,
0.050,7.000,0,100,1080.000,4052.600,28.520,
0.050,7.000,1,100,1080.000,3911.820,28.860,
0.050,7.000,2,100,1080.000,3849.160,27.920,
0.050,7.000,3,100,1080.000,3787.150,29.700,
0.050,7.000,4,100,1080.000,4006.590,29.050,
0.050,7.000,5,100,1080.000,3781.770,30.670,
0.050,7.000,6,100,1080.000,3771.660,26.920,
0.050,7.000,7,100,1080.000,3907.230,28.490,
0.050,7.000,8,100,1080.000,3671.940,28.630,
0.050,7.000,9,100,1080.000,3938.490,29.110,
0.200,3.000,0,100,1080.000,4054.800,30.530,
0.200,3.000,1,100,1080.000,3973.010,31.030,
0.200,3.000,2,100,1080.000,3851.300,28.950,
0.200,3.000,3,100,1080.000,3761.010,29.250,
0.200,3.000,4,100,1080.000,4054.730,28.950,
0.200,3.000,5,100,1080.000,3786.910,30.120,
0.200,3.000,6,100,1080.000,3787.950,28.640,
0.200,3.000,7,100,1080.000,3893.270,31.360,
0.200,3.000,8,100,1080.000,3672.000,30.130,
0.200,3.000,9,100,1080.000,3937.410,31.420,
0.200,7.000,0,100,1080.000,4052.600,28.700,
0.200,7.000,1,100,1080.000,3911.820,28.920,
0.200,7.000,2,100,1080.000,3849.160,28.030,
0.200,7.000,3,100,1080.000,3787.150,29.590,
0.200,7.000,4,100,1080.000,4006.590,29.210,
0.200,7.000,5,100,1080.000,3781.770,30.780,
0.200,7.000,6,100,1080.000,3771.660,26.670,
0.200,7.000,7,100,1080.000,3907.230,28.580,
0.200,7.000,8,100,1080.000,3671.940,28.570,
0.200,7.000,9,100,1080.000,3938.490,26.810,
