I_U,T_INT,seed,nodes_measured,n_targets,total_assignments,sim_elapsed_s,total_survey_time_s,conv_time_min_s,conv_time_max_s,conv_time_mean_s,wall_time_s,error
0.250,3.000,0,70,70,70,139.000,139.000,79.800,128.200,86.190,32.860,
0.250,3.500,0,70,70,70,143.000,143.000,79.800,132.300,87.510,33.150,
0.250,4.000,0,70,70,70,148.000,148.000,79.800,137.600,89.880,33.010,
0.250,4.500,0,70,70,70,150.000,150.000,79.800,139.600,92.630,33.230,
0.250,5.000,0,70,70,70,168.000,168.000,79.800,156.400,96.780,33.540,
0.250,5.500,0,70,70,70,172.000,172.000,79.800,160.100,98.290,33.470,
0.250,6.000,0,70,70,70,161.000,161.000,79.800,153.000,98.390,33.550,
0.250,6.500,0,70,70,70,165.000,165.000,79.800,156.900,99.370,33.300,
0.250,7.000,0,70,70,70,169.000,169.000,79.800,160.200,101.370,33.690,
0.260,3.000,0,70,70,70,153.000,153.000,79.800,141.200,89.090,33.100,
0.260,3.500,0,70,70,70,157.000,157.000,79.800,145.100,90.980,35.520,
0.260,4.000,0,70,70,70,167.000,167.000,79.800,155.200,93.800,35.620,
0.260,4.500,0,70,70,70,169.000,169.000,79.800,158.000,97.980,35.630,
0.260,5.000,0,70,70,70,172.000,172.000,79.800,160.100,101.340,36.270,
0.260,5.500,0,70,70,70,176.000,176.000,79.800,165.000,102.830,35.960,
0.260,6.000,0,70,70,70,178.000,178.000,79.800,166.200,103.310,35.980,
0.260,6.500,0,70,70,70,187.000,187.000,79.800,175.100,103.130,35.930,
0.260,7.000,0,70,70,70,187.000,187.000,79.800,175.100,106.020,36.530,
0.270,3.000,0,70,70,70,157.000,157.000,79.800,145.500,93.360,35.500,
0.270,3.500,0,70,70,70,162.000,162.000,79.800,150.100,95.890,36.170,
0.270,4.000,0,70,70,70,172.000,172.000,79.800,160.100,98.830,32.410,
0.270,4.500,0,70,70,70,173.000,173.000,79.800,161.100,103.510,32.860,
0.270,5.000,0,70,70,70,178.000,178.000,79.800,166.300,106.370,32.890,
0.270,5.500,0,70,70,70,182.000,182.000,79.800,170.100,107.350,32.980,
0.270,6.000,0,70,70,70,182.000,182.000,79.800,170.100,107.840,32.850,
0.270,6.500,0,70,70,70,192.000,192.000,79.800,180.100,108.400,32.710,
0.270,7.000,0,70,70,70,192.000,192.000,79.800,180.100,109.870,32.840,
0.280,3.000,0,70,70,70,162.000,162.000,79.800,152.000,98.910,32.080,
0.280,3.500,0,70,70,70,170.000,170.000,79.800,160.000,100.610,32.590,
0.280,4.000,0,70,70,70,176.000,176.000,79.800,165.000,103.760,33.040,
0.280,4.500,0,70,70,70,181.000,181.000,79.800,170.000,106.960,33.130,
0.280,5.000,0,70,70,70,182.000,182.000,79.800,170.100,109.710,33.500,
0.280,5.500,0,70,70,70,184.000,184.000,79.800,172.600,110.910,33.590,
0.280,6.000,0,70,70,70,186.000,186.000,79.800,174.600,111.610,33.600,
0.280,6.500,0,70,70,70,192.000,192.000,79.800,180.100,112.120,33.550,
0.280,7.000,0,70,70,70,193.000,193.000,79.800,181.100,113.020,34.070,
0.290,3.000,0,70,70,70,173.000,173.000,79.800,163.000,103.350,32.770,
0.290,3.500,0,70,70,70,176.000,176.000,79.800,165.100,105.130,33.010,
0.290,4.000,0,70,70,70,182.000,182.000,79.800,170.100,107.530,33.230,
0.290,4.500,0,70,70,70,182.000,182.000,79.800,170.900,110.910,33.790,
0.290,5.000,0,70,70,70,186.000,186.000,79.800,174.400,113.130,37.350,
0.290,5.500,0,70,70,70,205.000,205.000,79.800,195.700,114.390,37.290,
0.290,6.000,0,70,70,70,206.000,206.000,79.800,197.000,115.290,37.370,
0.290,6.500,0,70,70,70,208.000,208.000,79.800,198.500,116.290,37.190,
0.290,7.000,0,70,70,70,210.000,210.000,79.800,200.600,117.090,37.280,
0.300,3.000,0,70,70,70,177.000,177.000,79.800,166.900,107.260,36.580,
0.300,3.500,0,70,70,70,182.000,182.000,79.800,171.600,109.880,36.910,
0.300,4.000,0,70,70,70,185.000,185.000,79.800,174.400,112.490,37.360,
0.300,4.500,0,70,70,70,187.000,187.000,79.800,175.100,116.070,37.080,
0.300,5.000,0,70,70,70,189.000,189.000,79.800,177.800,117.550,37.670,
0.300,5.500,0,70,70,70,206.000,206.000,79.800,196.200,119.270,37.040,
0.300,6.000,0,70,70,70,207.000,207.000,79.800,197.600,119.480,37.120,
0.300,6.500,0,70,70,70,209.000,209.000,79.800,199.200,120.610,37.230,
0.300,7.000,0,70,70,70,212.000,212.000,79.800,202.600,121.860,37.010,
0.310,3.000,0,70,70,70,184.000,184.000,79.800,174.000,111.990,36.320,
0.310,3.500,0,70,70,70,186.000,186.000,79.800,175.100,114.190,36.690,
