run,total,IU,T,seed,nodes,sim_time_s,distance_m,wall_s
1,1200,0.05,3.0,2,300,799,5195.6,933.0
2,1200,0.05,3.0,0,300,782,5594.1,958.8
3,1200,0.05,3.0,36,300,789,5120.6,986.9
4,1200,0.05,3.0,11,300,813,5262.0,974.9
5,1200,0.05,3.0,1,300,748,5772.8,1009.5
6,1200,0.05,3.0,10,300,766,5795.0,980.0
7,1200,0.05,3.0,13,300,816,5315.8,1128.9
8,1200,0.05,3.0,17,300,770,5215.2,1169.4
9,1200,0.05,3.0,38,300,794,5133.3,1207.7
10,1200,0.05,3.0,25,300,768,5145.2,1237.7
11,1200,0.05,3.0,34,300,809,5626.5,1403.4
12,1200,0.05,3.0,3,300,795,5283.0,1407.4
13,1200,0.05,3.0,9,300,792,5033.3,1421.2
14,1200,0.05,3.0,42,300,754,5082.7,1423.9
15,1200,0.05,3.0,28,300,798,5272.6,1427.3
16,1200,0.05,3.0,32,300,754,5270.1,1399.3
17,1200,0.05,3.0,19,300,780,5279.1,1414.0
18,1200,0.05,3.0,14,300,761,5692.2,1432.6
19,1200,0.05,3.0,45,300,806,5084.6,1417.6
20,1200,0.05,3.0,27,300,793,5227.3,1395.2
21,1200,0.05,3.0,7,300,803,5203.6,1423.8
22,1200,0.05,3.0,18,300,824,5613.0,1410.2
23,1200,0.05,3.0,30,300,796,5108.7,1412.5
24,1200,0.05,3.0,44,300,790,5437.8,1434.5
25,1200,0.05,3.0,24,300,770,5467.4,1453.4
26,1200,0.05,3.0,37,300,741,5133.9,1460.1
27,1200,0.05,3.0,15,300,814,5179.5,1467.1
28,1200,0.05,3.0,23,300,791,5105.8,1431.3
29,1200,0.05,3.0,40,300,753,5207.3,1454.5
30,1200,0.05,3.0,22,300,778,5611.0,1467.5
31,1200,0.05,3.0,5,300,801,5783.3,1483.9
32,1200,0.05,3.0,12,300,782,5891.9,1474.2
33,1200,0.05,3.0,20,300,769,5281.5,1522.6
34,1200,0.05,3.0,33,300,786,5534.4,1544.9
35,1200,0.05,3.0,29,300,731,5207.8,1643.7
36,1200,0.05,3.0,26,300,751,5214.3,1662.3
37,1200,0.05,3.0,43,300,773,5001.5,1655.3
38,1200,0.05,3.0,21,300,783,5311.8,1659.7
39,1200,0.05,3.0,41,300,779,5676.4,1688.0
40,1200,0.05,3.0,39,300,782,5226.2,1705.7
41,1200,0.05,3.0,31,300,801,5044.6,1676.8
42,1200,0.05,3.0,6,300,759,5302.0,1706.0
43,1200,0.05,3.0,35,300,798,5191.2,1712.7
44,1200,0.05,3.0,4,300,783,5505.8,1726.0
45,1200,0.05,3.0,16,300,778,5401.7,1744.9
46,1200,0.05,3.0,46,300,780,5003.6,1725.5
47,1200,0.05,3.0,8,300,786,5324.5,1761.5
48,1200,0.05,3.0,48,300,776,5271.6,857.4
49,1200,0.05,3.0,47,300,790,5501.9,877.5
50,1200,0.05,3.0,52,300,771,4840.4,823.4
51,1200,0.05,3.0,50,300,792,5790.2,908.5
52,1200,0.05,3.0,49,300,783,5388.1,927.9
53,1200,0.05,3.0,53,300,795,5445.1,881.6
54,1200,0.05,3.0,51,300,766,5863.0,1055.5
55,1200,0.05,3.0,74,300,801,5120.8,894.9
56,1200,0.05,3.0,54,300,809,5573.0,1316.6
57,1200,0.05,3.0,55,300,772,5093.8,1331.9
58,1200,0.05,3.0,83,300,780,5290.6,893.8
59,1200,0.05,3.0,56,300,769,5618.1,1330.4
60,1200,0.05,3.0,94,300,780,5614.6,808.8
61,1200,0.05,3.0,96,300,778,5464.5,820.1
62,1200,0.05,3.0,97,300,791,5449.0,819.5
63,1200,0.05,3.0,58,300,813,5323.5,1335.8
64,1200,0.05,3.0,98,300,812,5366.0,845.9
65,1200,0.05,3.0,69,300,796,5408.5,1318.1
66,1200,0.05,3.0,61,300,765,5322.1,1338.6
67,1200,0.05,3.0,63,300,800,5189.3,1342.7
68,1200,0.05,3.0,57,300,779,5196.4,1378.2
69,1200,0.05,3.0,70,300,726,5026.9,1327.1
70,1200,0.05,3.0,66,300,775,5147.5,1347.0
71,1200,0.05,3.0,62,300,790,5179.9,1359.8
72,1200,0.05,3.0,67,300,801,5283.8,1362.5
73,1200,0.05,3.0,64,300,779,6319.5,1385.3
74,1200,0.05,3.0,76,300,784,4943.1,1310.2
75,1200,0.05,3.0,99,300,784,5319.4,795.6
76,1200,0.05,3.0,65,300,801,5542.4,1395.5
77,1200,0.05,3.0,68,300,753,5862.0,1386.3
78,1200,0.05,3.0,71,300,799,5256.3,1376.6
79,1200,0.05,3.0,73,300,782,5457.1,1371.0
80,1200,0.05,3.0,78,300,795,5271.8,1346.5
81,1200,0.05,3.0,77,300,786,5450.9,1362.4
82,1200,0.05,3.0,75,300,786,5836.1,1398.4
83,1200,0.05,3.0,80,300,789,5632.3,1366.3
84,1200,0.05,3.0,59,300,810,4930.0,1692.4
85,1200,0.05,3.0,60,300,764,5330.5,1698.3
86,1200,0.05,3.0,95,300,767,5245.1,1301.5
87,1200,0.05,3.0,72,300,793,5122.6,1702.1
88,1200,0.05,3.0,89,300,767,5461.4,1449.0
89,1200,0.05,3.0,88,300,786,5553.9,1549.4
90,1200,0.05,3.0,91,300,758,4965.1,1534.7
91,1200,0.05,5.0,0,247,1080,6806.5,1246.2
92,1200,0.05,5.0,1,261,1080,7646.6,972.2
93,1200,0.05,3.0,79,300,779,5647.5,1823.5
94,1200,0.05,3.0,82,300,767,5093.9,1700.1
95,1200,0.05,3.0,85,300,770,5241.5,1701.9
96,1200,0.05,3.0,86,300,744,5442.3,1703.9
97,1200,0.05,3.0,87,300,751,5249.8,1698.7
98,1200,0.05,3.0,81,300,790,5511.7,1782.3
99,1200,0.05,3.0,90,300,744,5146.2,1694.8
100,1200,0.05,3.0,84,300,781,5095.4,1763.0
101,1200,0.05,3.0,93,300,780,5261.3,1760.3
102,1200,0.05,3.0,92,300,771,5305.9,1774.6
103,1200,0.05,5.0,10,245,1080,6642.5,917.5
104,1200,0.05,5.0,8,251,1080,6759.6,967.0
105,1200,0.05,5.0,4,240,1080,6680.0,1112.9
106,1200,0.05,5.0,21,248,1080,6465.5,922.2
107,1200,0.05,5.0,2,250,1080,6719.0,1445.0
108,1200,0.05,5.0,3,242,1080,6566.9,1422.4
109,1200,0.05,5.0,22,253,1080,6407.5,1176.9
110,1200,0.05,5.0,7,239,1080,6415.6,1378.7
111,1200,0.05,5.0,6,254,1080,6997.6,1449.6
112,1200,0.05,5.0,34,237,1080,6504.1,923.5
113,1200,0.05,5.0,5,246,1080,6391.2,1528.8
114,1200,0.05,5.0,15,237,1080,6490.4,1472.3
115,1200,0.05,5.0,13,253,1080,6651.6,1481.9
116,1200,0.05,5.0,9,245,1080,6807.7,1515.9
117,1200,0.05,5.0,18,245,1080,6668.1,1497.5
118,1200,0.05,5.0,11,240,1080,6791.8,1539.2
119,1200,0.05,5.0,19,246,1080,6640.0,1484.0
120,1200,0.05,5.0,17,252,1080,6828.2,1529.6
121,1200,0.05,5.0,16,248,1080,6838.6,1536.2
122,1200,0.05,5.0,12,249,1080,6822.2,1559.3
123,1200,0.05,5.0,38,252,1080,6765.9,1003.5
124,1200,0.05,5.0,37,258,1080,6885.7,1014.0
125,1200,0.05,5.0,24,247,1080,6500.1,1525.5
126,1200,0.05,5.0,14,265,1080,7088.1,1584.3
127,1200,0.05,5.0,20,254,1080,7103.4,1552.1
128,1200,0.05,5.0,25,258,1080,7016.1,1543.6
129,1200,0.05,5.0,26,251,1080,6795.8,1532.4
130,1200,0.05,5.0,27,240,1080,6691.9,1522.3
131,1200,0.05,5.0,36,256,1080,6895.4,1135.5
132,1200,0.05,5.0,23,250,1080,6804.7,1612.9
133,1200,0.05,5.0,28,253,1080,7213.1,1586.3
134,1200,0.05,5.0,29,270,1080,7422.9,1644.4
135,1200,0.05,5.0,40,258,1080,7274.6,1233.7
136,1200,0.05,5.0,30,247,1080,6993.6,1525.9
137,1200,0.05,5.0,31,240,1080,6790.6,1515.7
138,1200,0.05,5.0,50,240,1080,5883.0,965.1
139,1200,0.05,5.0,32,246,1080,6873.0,1551.4
140,1200,0.05,5.0,49,241,1080,6498.8,1032.5
141,1200,0.05,5.0,33,254,1080,6550.3,1627.2
142,1200,0.05,5.0,41,237,1080,6508.3,1405.2
143,1200,0.05,5.0,35,239,1080,6811.3,1540.7
144,1200,0.05,5.0,39,259,1080,6850.2,1581.5
145,1200,0.05,5.0,45,245,1080,6703.4,1515.1
146,1200,0.05,5.0,44,245,1080,6660.2,1550.4
147,1200,0.05,5.0,46,247,1080,6738.7,1506.7
148,1200,0.05,5.0,47,241,1080,6532.9,1462.6
149,1200,0.05,5.0,55,258,1080,6991.5,993.0
150,1200,0.05,5.0,42,259,1080,6825.7,1603.8
151,1200,0.05,5.0,48,243,1080,6628.5,1488.2
152,1200,0.05,5.0,54,249,1080,6531.6,1067.6
153,1200,0.05,5.0,58,249,1080,6833.6,959.0
154,1200,0.05,5.0,43,251,1080,7095.8,1671.3
155,1200,0.05,5.0,52,237,1080,6308.8,1362.7
156,1200,0.05,5.0,69,248,1080,6718.6,927.3
157,1200,0.05,5.0,51,242,1080,6611.9,1661.2
158,1200,0.05,5.0,56,254,1080,7040.9,1420.6
159,1200,0.05,5.0,81,251,1080,6826.9,891.6
160,1200,0.05,5.0,57,250,1080,6805.4,1437.2
161,1200,0.05,5.0,53,253,1080,6934.0,1596.4
162,1200,0.05,5.0,84,249,1080,6825.4,917.9
163,1200,0.05,5.0,59,237,1080,6429.5,1496.3
164,1200,0.05,5.0,86,262,1080,7024.4,919.5
165,1200,0.05,5.0,70,261,1080,7212.4,1299.8
166,1200,0.05,5.0,64,241,1080,6754.6,1481.8
167,1200,0.05,5.0,60,244,1080,6770.9,1555.4
168,1200,0.05,5.0,62,248,1080,6622.6,1547.4
169,1200,0.05,5.0,68,253,1080,6540.3,1513.2
170,1200,0.05,5.0,63,243,1080,6669.7,1536.8
171,1200,0.05,5.0,66,247,1080,6641.0,1529.2
172,1200,0.05,5.0,72,254,1080,6646.7,1514.8
173,1200,0.05,5.0,61,271,1080,7437.7,1632.4
174,1200,0.05,5.0,65,252,1080,6728.0,1593.3
175,1200,0.05,5.0,67,250,1080,6723.5,1575.2
176,1200,0.05,5.0,76,244,1080,6765.3,1497.3
177,1200,0.05,5.0,75,248,1080,6676.3,1514.2
178,1200,0.05,5.0,95,252,1080,6809.5,912.0
179,1200,0.05,5.0,71,241,1080,6553.5,1559.6
180,1200,0.05,5.0,98,230,1080,6431.5,878.2
181,1200,0.05,5.0,78,246,1080,6769.1,1478.0
182,1200,0.05,5.0,74,249,1080,6958.1,1557.9
183,1200,0.05,5.0,73,256,1080,7137.1,1566.6
184,1200,0.05,5.0,79,241,1080,6754.9,1560.6
185,1200,0.05,5.0,77,248,1080,6713.0,1600.2
186,1200,0.05,7.0,2,182,1080,5342.9,787.2
187,1200,0.05,5.0,80,257,1080,6885.6,1558.7
188,1200,0.05,5.0,82,243,1080,6536.0,1505.8
189,1200,0.05,5.0,83,249,1080,6572.4,1529.8
190,1200,0.05,5.0,85,253,1080,7119.8,1524.6
191,1200,0.05,5.0,99,247,1080,6804.4,1161.1
192,1200,0.05,7.0,6,184,1080,5267.4,729.3
193,1200,0.05,7.0,5,179,1080,5209.6,765.8
194,1200,0.05,5.0,93,246,1080,7127.3,1349.3
195,1200,0.05,7.0,0,180,1080,5449.8,1236.2
196,1200,0.05,5.0,87,258,1080,6613.6,1562.0
197,1200,0.05,7.0,1,188,1080,5582.2,1250.2
198,1200,0.05,5.0,89,246,1080,6545.4,1539.5
199,1200,0.05,7.0,10,181,1080,5436.0,779.4
200,1200,0.05,5.0,88,251,1080,7002.6,1605.7
201,1200,0.05,5.0,90,255,1080,6838.8,1558.3
202,1200,0.05,7.0,3,176,1080,5187.4,1155.5
203,1200,0.05,5.0,94,248,1080,6717.8,1557.2
204,1200,0.05,5.0,91,263,1080,6545.4,1615.1
205,1200,0.05,5.0,96,244,1080,7107.4,1591.7
206,1200,0.05,7.0,8,189,1080,5342.4,1036.2
207,1200,0.05,5.0,97,247,1080,6709.5,1598.4
208,1200,0.05,5.0,92,253,1080,7057.9,1657.1
209,1200,0.05,7.0,26,183,1080,5526.2,735.2
210,1200,0.05,7.0,4,180,1080,5441.9,1192.9
211,1200,0.05,7.0,7,173,1080,5148.2,1214.7
212,1200,0.05,7.0,32,186,1080,5531.7,738.0
213,1200,0.05,7.0,11,177,1080,5046.3,1167.7
214,1200,0.05,7.0,9,182,1080,5567.5,1255.8
215,1200,0.05,7.0,13,181,1080,5168.1,1137.7
216,1200,0.05,7.0,15,175,1080,5117.0,1145.8
217,1200,0.05,7.0,14,188,1080,5564.9,1181.9
218,1200,0.05,7.0,12,179,1080,5502.6,1210.6
219,1200,0.05,7.0,38,177,1080,5401.4,746.3
220,1200,0.05,7.0,24,185,1080,5299.8,1112.6
221,1200,0.05,7.0,19,176,1080,5110.9,1153.7
222,1200,0.05,7.0,17,187,1080,5209.6,1200.4
223,1200,0.05,7.0,21,182,1080,5278.5,1153.0
224,1200,0.05,7.0,18,178,1080,5280.5,1173.2
225,1200,0.05,7.0,37,188,1080,5476.4,827.6
226,1200,0.05,7.0,39,191,1080,5420.3,797.9
227,1200,0.05,7.0,16,187,1080,5385.7,1246.0
228,1200,0.05,7.0,20,183,1080,5441.0,1190.0
229,1200,0.05,7.0,22,182,1080,4993.7,1213.5
230,1200,0.05,7.0,40,184,1080,5269.2,793.5
231,1200,0.05,7.0,28,181,1080,5662.3,1196.6
232,1200,0.05,7.0,29,191,1080,5451.0,1194.0
233,1200,0.05,7.0,27,177,1080,5279.4,1224.6
234,1200,0.05,7.0,23,186,1080,5543.3,1241.5
235,1200,0.05,7.0,25,194,1080,5709.4,1243.0
236,1200,0.05,7.0,31,169,1080,5123.1,1135.4
237,1200,0.05,7.0,45,184,1080,5356.5,776.0
238,1200,0.05,7.0,47,177,1080,5397.7,760.8
239,1200,0.05,7.0,30,184,1080,5700.9,1233.7
240,1200,0.05,7.0,34,178,1080,5185.7,1169.6
241,1200,0.05,7.0,33,185,1080,5276.4,1281.4
242,1200,0.05,7.0,55,185,1080,5489.5,754.1
243,1200,0.05,7.0,35,176,1080,5180.8,1276.7
244,1200,0.05,7.0,41,177,1080,5209.6,1154.6
245,1200,0.05,7.0,36,190,1080,5742.1,1262.1
246,1200,0.05,7.0,58,172,1080,5345.1,705.8
247,1200,0.05,7.0,43,182,1080,5369.2,1209.8
248,1200,0.05,7.0,46,167,1080,5018.3,1162.5
249,1200,0.05,7.0,44,174,1080,4995.5,1236.6
250,1200,0.05,7.0,42,190,1080,5385.4,1286.0
251,1200,0.05,7.0,48,178,1080,5267.7,1161.5
252,1200,0.05,7.0,49,172,1080,4953.2,1198.7
253,1200,0.05,7.0,72,176,1080,5323.7,715.0
254,1200,0.05,7.0,52,175,1080,5202.5,1185.9
255,1200,0.05,7.0,71,172,1080,5169.6,743.3
256,1200,0.05,7.0,50,178,1080,5208.1,1249.0
257,1200,0.05,7.0,76,180,1080,5086.3,714.9
258,1200,0.05,7.0,54,180,1080,5039.3,1205.2
259,1200,0.05,7.0,56,188,1080,5457.4,1195.3
260,1200,0.05,7.0,65,187,1080,5604.7,858.7
