I_U,T_INT,seed,nodes_completed,sim_duration_s,total_survey_time_s,fleet_distance_m,conv_time_min_s,conv_time_max_s,conv_time_mean_s,wall_time_s,error
0.050,3.000,0,30,88.000,88.000,2176.440,15.000,49.700,20.230,4.330,
0.050,3.000,1,30,97.000,97.000,1883.990,15.000,63.800,25.520,4.090,
0.050,3.000,2,30,85.000,85.000,1872.900,15.000,44.400,22.200,4.100,
0.050,3.000,3,30,94.000,94.000,1884.770,15.000,45.200,23.400,4.100,
0.050,3.000,4,30,75.000,75.000,1825.070,15.000,40.400,20.850,4.110,
0.050,3.000,5,30,93.000,93.000,2095.620,15.000,59.300,24.000,4.360,
0.050,3.000,6,30,80.000,80.000,2014.210,15.000,46.400,22.240,4.220,
0.050,3.000,7,30,74.000,74.000,1866.550,15.000,65.100,21.050,4.050,
0.050,3.000,8,30,108.000,108.000,1677.280,15.000,53.300,22.390,4.040,
0.050,3.000,9,30,99.000,99.000,1987.310,15.000,42.600,21.940,4.700,
0.050,3.500,0,30,90.000,90.000,2176.440,17.500,52.000,22.160,4.720,
0.050,3.500,1,30,106.000,106.000,1876.490,17.500,69.700,29.550,4.480,
0.050,3.500,2,30,90.000,90.000,1940.520,17.500,52.800,22.950,4.490,
0.050,3.500,3,30,105.000,105.000,1936.050,17.500,49.000,28.450,4.570,
0.050,3.500,4,30,127.000,127.000,1853.390,17.500,70.300,25.450,4.470,
0.050,3.500,5,30,102.000,102.000,2091.270,17.500,65.200,28.560,4.690,
0.050,3.500,6,30,114.000,114.000,2027.290,17.500,66.300,28.390,4.650,
0.050,3.500,7,30,106.000,106.000,1823.890,17.500,73.500,28.740,4.360,
0.050,3.500,8,30,112.000,112.000,1666.280,17.500,57.500,25.500,4.290,
0.050,3.500,9,30,106.000,106.000,2003.440,17.500,46.800,25.540,4.570,
0.050,4.000,0,30,116.000,116.000,2183.250,20.000,59.200,27.100,4.630,
0.050,4.000,1,30,119.000,119.000,1873.190,20.000,80.900,32.820,4.430,
0.050,4.000,2,30,119.000,119.000,1944.710,20.000,65.400,26.410,4.390,
0.050,4.000,3,30,119.000,119.000,1892.900,20.000,60.400,31.600,4.450,
0.050,4.000,4,30,134.000,134.000,1830.120,20.000,76.700,29.900,4.320,
0.050,4.000,5,30,110.000,110.000,2094.500,20.000,70.700,32.130,4.510,
0.050,4.000,6,30,144.000,144.000,1977.370,20.000,79.000,32.070,4.410,
