I_U,T_INT,seed,nodes_measured,n_targets,total_assignments,sim_elapsed_s,total_survey_time_s,fleet_distance_m,conv_time_min_s,conv_time_max_s,conv_time_mean_s,wall_time_s,var_Ubar_min,var_Ubar_max,var_Ubar_mean,var_Ubar_median,var_Ubar_std,sigma_Ubar_mean,ci_rel_mean,ci_rel_max,error
0.25,3,0,70,70,70,239,239,5915.65,79.8,225.2,125.72,13.14,0.129226,0.252076,0.192178,0.190023,0.024496,0.43751,0.0787,0.08,
0.25,3,1,70,70,70,214,214,5453.07,79.8,202.5,128.04,12.22,0.128416,0.225526,0.185298,0.185466,0.019603,0.42986,0.079,0.08,
0.25,3,2,70,70,70,238,238,5373.71,79.8,228.9,125.97,12.09,0.096594,0.25356,0.186886,0.186592,0.027372,0.43111,0.0786,0.08,
0.25,3,3,70,70,70,241,241,5469.73,79.8,230.1,129.21,12.24,0.132961,0.244588,0.188082,0.185573,0.020793,0.43303,0.0792,0.08,
0.25,3,4,70,70,70,267,267,6255.13,79.8,257.5,135.52,13,0.142655,0.236356,0.188226,0.188009,0.019691,0.43326,0.079,0.08,
0.25,3,5,70,70,70,265,265,5378.63,79.8,254.5,134.04,12.07,0.152067,0.285994,0.190387,0.184862,0.023871,0.43554,0.0794,0.08,
0.25,3,6,70,70,70,239,239,5854.1,79.8,228.4,134.28,12.65,0.129954,0.247746,0.186494,0.186164,0.025757,0.43081,0.0784,0.08,
0.25,3,7,70,70,70,293,293,6014.68,79.8,280.1,130.85,12.68,0.114992,0.242391,0.186408,0.184798,0.024281,0.43081,0.0785,0.08,
0.25,3,8,70,70,70,226,226,5385.87,79.8,215.1,136.57,12.16,0.131714,0.260995,0.186945,0.183419,0.024213,0.43149,0.0793,0.08,
0.25,3,9,70,70,70,242,242,5800.41,79.8,231.9,133.25,12.6,0.132686,0.22442,0.187379,0.188402,0.018008,0.43237,0.0795,0.08,
0.25,3.5,0,70,70,70,341,341,5915.65,79.8,330.8,133.03,13.82,0.130888,0.259715,0.193072,0.189944,0.026134,0.43842,0.0787,0.08,
0.25,3.5,1,70,70,70,228,228,5453.07,79.8,217.6,133.51,12.84,0.135589,0.231751,0.185239,0.185777,0.019919,0.42978,0.0789,0.08,
0.25,3.5,2,70,70,70,285,285,5373.71,79.8,275.1,134.15,12.73,0.099317,0.248958,0.187015,0.186345,0.026741,0.43131,0.0787,0.08,
0.25,3.5,3,70,70,70,246,246,5469.73,79.8,235.1,133.99,12.86,0.142173,0.248071,0.187593,0.184907,0.021613,0.43242,0.0792,0.08,
0.25,3.5,4,70,70,70,275,275,6255.13,79.8,265.1,141.55,13.82,0.148791,0.233946,0.189702,0.190539,0.02055,0.43492,0.079,0.08,
0.25,3.5,5,70,70,70,271,271,5378.63,79.9,260.1,141.07,12.93,0.142785,0.278118,0.189501,0.184316,0.025639,0.43439,0.0791,0.08,
