I_U,T_INT,seed,nodes_completed,sim_duration_s,total_survey_time_s,fleet_distance_m,conv_time_min_s,conv_time_max_s,conv_time_mean_s,wall_time_s,error
0.050,3.000,0,30,89.000,89.000,2176.440,15.000,50.100,20.400,10.280,
0.050,3.000,1,30,101.000,101.000,1883.990,15.000,67.500,26.890,9.630,
0.050,3.000,2,30,92.000,92.000,1883.960,15.000,42.600,22.840,9.290,
0.050,3.000,3,30,94.000,94.000,1891.720,15.000,44.800,23.640,9.410,
0.050,3.000,4,30,120.000,120.000,1830.120,15.000,68.100,23.920,9.290,
0.050,3.000,5,30,99.000,99.000,2043.410,15.000,60.800,25.560,9.850,
0.050,3.000,6,30,80.000,80.000,2014.210,15.000,46.600,22.490,9.730,
0.050,3.000,7,30,99.000,99.000,1861.850,15.000,69.300,23.930,9.010,
0.050,3.000,8,30,109.000,109.000,1669.580,15.000,53.500,22.850,9.210,
0.050,3.000,9,30,89.000,89.000,1924.600,15.000,38.900,22.700,9.410,
0.050,3.500,0,30,92.000,92.000,2177.320,17.500,53.700,22.280,9.290,
0.050,3.500,1,30,107.000,107.000,1881.550,17.500,70.800,30.280,8.600,
0.050,3.500,2,30,91.000,91.000,1940.520,17.500,53.200,23.420,8.900,
0.050,3.500,3,30,106.000,106.000,1936.050,17.500,51.700,29.170,9.150,
0.050,3.500,4,30,130.000,130.000,1858.430,17.500,73.000,25.880,8.600,
0.050,3.500,5,30,101.000,101.000,2102.110,17.500,65.600,29.380,9.410,
0.050,3.500,6,30,129.000,129.000,1956.870,17.500,93.000,29.660,9.030,
0.050,3.500,7,30,106.000,106.000,1823.890,17.500,76.700,29.120,8.240,
0.050,3.500,8,30,113.000,113.000,1666.280,17.500,57.900,25.280,8.240,
0.050,3.500,9,30,108.000,108.000,2003.540,17.500,48.700,26.340,9.060,
0.050,4.000,0,30,117.000,117.000,2183.060,20.000,59.600,27.780,9.220,
0.050,4.000,1,30,122.000,122.000,1873.190,20.000,83.100,33.160,8.930,
0.050,4.000,2,30,118.000,118.000,1960.630,20.000,65.800,27.010,8.670,
0.050,4.000,3,30,117.000,117.000,1924.140,20.000,61.400,31.580,9.100,
0.050,4.000,4,30,136.000,136.000,1830.120,20.000,79.000,32.940,8.740,
0.050,4.000,5,30,112.000,112.000,2089.000,20.000,71.000,33.630,9.300,
0.050,4.000,6,30,148.000,148.000,1977.370,20.000,81.900,32.640,9.230,
0.050,4.000,7,30,120.000,120.000,1854.590,20.000,86.800,30.730,8.970,
0.050,4.000,8,30,120.000,120.000,1712.010,20.000,60.300,28.310,8.460,
0.050,4.000,9,30,106.000,106.000,1970.800,20.000,51.500,29.170,9.120,
0.050,4.500,0,30,127.000,127.000,2156.890,22.500,64.100,29.850,9.290,
0.050,4.500,1,30,129.000,129.000,1865.200,22.500,87.500,35.590,9.190,
0.050,4.500,2,30,116.000,116.000,1953.500,22.500,59.400,29.100,9.180,
0.050,4.500,3,30,120.000,120.000,1888.380,22.500,67.300,36.790,9.210,
0.050,4.500,4,30,139.000,139.000,1833.260,22.500,79.700,35.060,8.950,
0.050,4.500,5,30,142.000,142.000,2086.320,22.500,74.800,41.950,9.520,
0.050,4.500,6,30,151.000,151.000,2000.750,22.500,87.200,37.950,9.290,
0.050,4.500,7,30,124.000,124.000,1934.030,22.500,91.900,35.400,8.820,
0.050,4.500,8,30,120.000,120.000,1688.570,22.500,62.000,29.350,8.730,
0.050,4.500,9,30,130.000,130.000,1989.790,22.500,76.200,31.150,9.640,
0.050,5.000,0,30,138.000,138.000,2177.790,25.000,70.400,33.950,9.440,
0.050,5.000,1,30,130.000,130.000,1857.580,25.000,87.000,40.040,9.220,
0.050,5.000,2,30,114.000,114.000,1932.940,25.000,60.600,33.830,9.000,
0.050,5.000,3,30,124.000,124.000,1888.380,25.000,72.800,39.460,9.380,
0.050,5.000,4,30,142.000,142.000,1833.260,25.000,82.400,37.280,9.070,
0.050,5.000,5,30,159.000,159.000,2086.320,25.000,81.000,45.820,9.580,
0.050,5.000,6,30,163.000,163.000,1932.660,25.000,92.200,42.460,9.530,
0.050,5.000,7,30,135.000,135.000,1914.550,25.000,95.900,39.910,8.840,
0.050,5.000,8,30,120.000,120.000,1696.280,25.000,57.300,32.520,8.660,
0.050,5.000,9,30,131.000,131.000,1987.440,25.000,77.200,35.250,9.270,
0.050,5.500,0,30,142.000,142.000,2191.530,27.500,70.800,37.250,9.160,
0.050,5.500,1,30,183.000,183.000,1860.990,27.500,102.200,45.890,8.600,
0.050,5.500,2,30,130.000,130.000,1850.320,27.500,75.200,36.700,8.410,
0.050,5.500,3,30,136.000,136.000,1888.490,27.500,84.500,42.270,8.900,
0.050,5.500,4,30,149.000,149.000,1851.460,27.500,88.800,41.630,8.740,
0.050,5.500,5,30,162.000,162.000,2086.320,27.500,88.200,46.440,9.430,
0.050,5.500,6,30,187.000,187.000,1984.610,27.500,113.700,44.820,9.290,
0.050,5.500,7,30,134.000,134.000,1839.050,27.500,100.300,44.340,8.590,
0.050,5.500,8,30,122.000,122.000,1719.200,27.500,93.400,36.660,8.970,
0.050,5.500,9,30,117.000,117.000,1987.430,27.500,60.900,35.510,9.080,
0.050,6.000,0,30,151.000,151.000,2139.060,30.000,74.100,39.390,9.050,
0.050,6.000,1,30,202.000,202.000,1879.990,30.000,111.000,49.520,8.880,
0.050,6.000,2,30,140.000,140.000,1904.210,30.000,77.800,41.200,8.820,
0.050,6.000,3,30,165.000,165.000,1917.560,30.000,112.100,48.020,9.350,
0.050,6.000,4,30,158.000,158.000,1860.450,30.000,95.500,45.280,8.460,
0.050,6.000,5,30,156.000,156.000,2099.160,30.000,100.100,49.720,9.160,
0.050,6.000,6,30,147.000,147.000,2019.910,30.000,100.700,45.640,9.200,
0.050,6.000,7,30,130.000,130.000,1838.910,30.000,105.400,46.190,8.640,
0.050,6.000,8,30,141.000,141.000,1594.840,30.000,100.300,44.460,8.760,
0.050,6.000,9,30,151.000,151.000,1982.790,30.000,79.400,43.460,9.270,
0.050,6.500,0,30,148.000,148.000,2142.840,32.500,79.200,41.820,9.530,
0.050,6.500,1,30,213.000,213.000,1886.130,32.500,119.400,52.770,9.030,
0.050,6.500,2,30,148.000,148.000,1911.860,32.500,77.700,43.420,8.840,
0.050,6.500,3,30,207.000,207.000,1915.070,32.500,122.500,54.520,9.280,
0.050,6.500,4,30,159.000,159.000,1876.710,32.500,93.200,47.410,8.580,
0.050,6.500,5,30,215.000,215.000,2081.540,32.500,110.300,54.780,9.140,
0.050,6.500,6,30,171.000,171.000,2013.020,32.500,104.700,50.480,9.510,
0.050,6.500,7,30,134.000,134.000,1838.910,32.500,109.400,48.910,8.490,
0.050,6.500,8,30,159.000,159.000,1621.750,32.500,105.700,50.340,8.570,
0.050,6.500,9,30,156.000,156.000,2054.340,32.500,85.900,49.490,9.610,
0.050,7.000,0,30,145.000,145.000,2098.020,35.000,85.700,44.340,11.740,
0.050,7.000,1,30,221.000,221.000,1880.100,35.000,128.900,54.860,11.750,
0.050,7.000,2,30,157.000,157.000,1911.860,35.000,82.200,46.580,11.370,
0.050,7.000,3,30,196.000,196.000,1899.460,35.000,127.300,56.570,12.410,
0.050,7.000,4,30,174.000,174.000,1872.250,35.000,106.300,53.890,11.420,
0.050,7.000,5,30,171.000,171.000,2148.490,35.000,110.500,55.480,12.690,
0.050,7.000,6,30,163.000,163.000,2060.430,35.000,137.200,55.390,12.560,
0.050,7.000,7,30,174.000,174.000,1871.540,35.000,113.600,51.510,11.670,
0.050,7.000,8,30,168.000,168.000,1611.190,35.000,110.300,52.160,11.610,
0.050,7.000,9,30,166.000,166.000,1981.180,35.000,92.200,52.850,14.100,
0.060,3.000,0,30,89.000,89.000,2176.440,15.000,53.100,20.660,12.050,
0.060,3.000,1,30,112.000,112.000,1868.510,15.000,78.100,29.040,11.390,
0.060,3.000,2,30,92.000,92.000,1883.960,15.000,42.600,22.930,11.640,
0.060,3.000,3,30,97.000,97.000,1909.950,15.000,53.000,25.200,11.530,
0.060,3.000,4,30,129.000,129.000,1830.120,15.000,77.800,24.820,11.340,
0.060,3.000,5,30,112.000,112.000,2043.410,15.000,74.000,26.630,11.950,
0.060,3.000,6,30,132.000,132.000,2014.210,15.000,98.300,24.220,11.650,
0.060,3.000,7,30,102.000,102.000,1853.960,15.000,87.900,24.780,10.840,
0.060,3.000,8,30,112.000,112.000,1669.580,15.000,56.200,23.030,10.940,
0.060,3.000,9,30,89.000,89.000,1924.600,15.000,38.900,22.700,9.760,
0.060,3.500,0,30,97.000,97.000,2177.320,17.500,58.700,22.480,9.260,
0.060,3.500,1,30,128.000,128.000,1881.550,17.500,88.700,31.870,8.670,
0.060,3.500,2,30,114.000,114.000,1940.520,17.500,65.300,24.330,8.700,
0.060,3.500,3,30,119.000,119.000,1936.050,17.500,58.100,29.850,8.660,
0.060,3.500,4,30,140.000,140.000,1858.430,17.500,83.000,26.230,8.480,
0.060,3.500,5,30,115.000,115.000,2102.110,17.500,75.100,30.380,9.330,
0.060,3.500,6,30,151.000,151.000,1956.870,17.500,114.200,30.950,9.070,
