I_U,T_INT,seed,nodes_completed,sim_duration_s,fleet_distance_m,conv_time_min_s,conv_time_max_s,conv_time_mean_s,wall_time_s,error
0.050,3.000,0,20,77.000,1732.260,15.800,65.400,32.800,8.300,
0.050,3.000,1,20,85.000,1919.030,15.000,72.900,34.360,8.950,
0.050,3.000,2,20,97.000,1760.080,15.000,85.200,35.230,10.040,
0.050,3.000,3,20,78.000,1931.230,15.000,67.500,37.620,8.790,
0.050,3.000,4,20,64.000,2035.200,15.100,51.100,29.010,8.870,
0.050,3.000,5,20,83.000,1835.090,15.000,70.300,34.980,8.570,
0.050,3.000,6,20,82.000,1941.750,15.000,70.000,40.160,9.620,
0.050,3.000,7,20,89.000,1654.850,15.700,79.400,34.340,8.260,
0.050,3.000,8,20,78.000,1480.540,15.000,67.900,29.080,8.000,
0.050,3.000,9,20,84.000,1774.270,15.100,73.400,37.750,8.310,
0.050,3.500,0,20,83.000,1732.260,17.600,72.000,34.660,10.040,
0.050,3.500,1,20,92.000,1919.030,17.500,79.800,39.520,10.710,
0.050,3.500,2,20,108.000,1760.080,17.500,96.100,40.550,12.240,
0.050,3.500,3,20,84.000,1931.230,17.500,73.300,42.180,10.650,
0.050,3.500,4,20,76.000,2035.200,17.500,64.500,35.870,10.640,
0.050,3.500,5,20,90.000,1835.090,17.500,77.800,43.500,10.260,
0.050,3.500,6,20,94.000,1941.750,17.500,81.700,44.310,11.830,
0.050,3.500,7,20,101.000,1654.850,17.500,92.000,38.880,10.000,
0.050,3.500,8,20,87.000,1480.540,18.400,78.000,41.720,9.750,
0.050,3.500,9,20,89.000,1774.270,17.500,78.700,40.990,10.450,
0.050,4.000,0,20,90.000,1732.260,20.000,78.300,40.110,10.640,
0.050,4.000,1,20,106.000,1919.030,20.000,95.500,47.870,11.060,
0.050,4.000,2,20,126.000,1760.080,20.000,114.900,46.360,12.490,
0.050,4.000,3,20,89.000,1931.230,20.000,77.600,45.740,11.080,
0.050,4.000,4,20,106.000,2035.200,20.000,98.000,42.980,11.250,
0.050,4.000,5,20,113.000,1835.090,20.000,102.400,53.540,10.870,
0.050,4.000,6,20,102.000,1941.750,20.000,89.900,51.670,12.170,
0.050,4.000,7,20,108.000,1654.850,20.000,98.500,42.280,10.590,
0.050,4.000,8,20,108.000,1480.540,20.000,97.600,45.720,10.140,
0.050,4.000,9,20,98.000,1774.270,20.000,88.000,45.660,10.770,
0.050,4.500,0,20,117.000,1732.260,22.500,105.700,46.720,11.480,
0.050,4.500,1,20,117.000,1919.030,22.500,106.800,53.410,12.180,
0.050,4.500,2,20,135.000,1760.080,24.100,123.500,50.450,13.860,
0.050,4.500,3,20,99.000,1931.230,22.500,88.300,50.050,12.130,
0.050,4.500,4,20,112.000,2035.200,22.500,103.700,43.910,12.540,
0.050,4.500,5,20,121.000,1835.090,22.500,110.400,59.120,12.200,
0.050,4.500,6,20,123.000,1941.750,22.500,113.900,58.460,13.610,
0.050,4.500,7,20,115.000,1654.850,22.500,105.100,45.900,11.900,
0.050,4.500,8,20,112.000,1480.540,22.500,101.600,48.740,11.260,
0.050,4.500,9,20,106.000,1774.270,22.500,95.400,50.230,12.150,
0.050,5.000,0,20,126.000,1732.260,25.000,114.500,50.330,12.880,
0.050,5.000,1,20,130.000,1919.030,25.000,117.100,66.910,13.390,
0.050,5.000,2,20,144.000,1760.080,26.500,133.000,55.900,14.870,
0.050,5.000,3,20,112.000,1931.230,25.000,101.300,53.460,13.280,
0.050,5.000,4,20,117.000,2035.200,25.000,108.400,47.890,13.390,
0.050,5.000,5,20,124.000,1835.090,25.000,113.900,63.020,12.820,
0.050,5.000,6,20,137.000,1941.750,25.000,127.300,59.730,14.510,
0.050,5.000,7,20,126.000,1654.850,25.000,115.700,52.780,12.470,
0.050,5.000,8,20,117.000,1480.540,25.000,107.800,54.120,11.990,
0.050,5.000,9,20,114.000,1774.270,25.000,103.300,52.880,12.940,
0.050,5.500,0,20,132.000,1732.260,27.500,120.500,53.520,13.120,
0.050,5.500,1,20,136.000,1919.030,27.500,123.200,70.340,13.410,
0.050,5.500,2,20,155.000,1760.080,29.100,143.100,60.460,15.120,
0.050,5.500,3,20,125.000,1931.230,27.500,112.500,62.020,13.180,
0.050,5.500,4,20,121.000,2035.200,27.500,112.700,56.650,13.300,
0.050,5.500,5,20,129.000,1835.090,28.000,118.200,70.090,12.830,
0.050,5.500,6,20,148.000,1941.750,27.500,138.500,66.000,14.450,
0.050,5.500,7,20,137.000,1654.850,27.500,126.200,56.480,12.500,
0.050,5.500,8,20,129.000,1480.540,27.500,118.100,59.500,12.120,
0.050,5.500,9,20,129.000,1774.270,27.500,119.700,59.730,12.650,
0.050,6.000,0,20,138.000,1732.260,30.000,126.900,56.740,12.330,
0.050,6.000,1,20,151.000,1919.030,30.300,139.600,84.940,12.560,
0.050,6.000,2,20,163.000,1760.080,31.500,151.500,66.110,14.250,
0.050,6.000,3,20,129.000,1931.230,30.000,116.100,65.150,12.610,
0.050,6.000,4,20,126.000,2035.200,30.000,117.200,60.460,12.650,
0.050,6.000,5,20,132.000,1835.090,30.000,121.400,73.450,12.300,
0.050,6.000,6,20,155.000,1941.750,30.000,145.300,70.550,13.650,
0.050,6.000,7,20,146.000,1654.850,30.000,135.100,62.190,11.990,
0.050,6.000,8,20,180.000,1480.540,30.000,170.900,67.120,11.390,
0.050,6.000,9,20,132.000,1774.270,30.000,122.900,63.760,12.140,
0.050,6.500,0,20,143.000,1732.260,32.500,131.300,59.860,11.920,
0.050,6.500,1,20,178.000,1919.030,32.800,166.400,90.630,12.540,
0.050,6.500,2,20,170.000,1760.080,32.500,158.400,68.710,13.890,
0.050,6.500,3,20,131.000,1931.230,32.500,119.000,67.670,12.430,
0.050,6.500,4,20,130.000,2035.200,32.500,121.100,64.320,12.590,
0.050,6.500,5,20,144.000,1835.090,32.600,133.700,78.360,11.740,
0.050,6.500,6,20,162.000,1941.750,32.500,152.400,72.870,13.710,
0.050,6.500,7,20,160.000,1654.850,32.500,149.400,63.470,11.770,
0.050,6.500,8,20,189.000,1480.540,32.500,180.000,71.040,11.440,
0.050,6.500,9,20,134.000,1774.270,32.500,124.900,69.340,12.270,
0.050,7.000,0,20,146.000,1732.260,35.000,134.100,63.100,12.730,
0.050,7.000,1,20,198.000,1919.030,35.800,188.200,101.890,13.180,
