I_U,T_INT,seed,nodes_completed,sim_duration_s,total_survey_time_s,fleet_distance_m,conv_time_min_s,conv_time_max_s,conv_time_mean_s,wall_time_s,error
0.050,3.000,0,30,89.000,89.000,2176.440,15.000,50.100,20.400,6.980,
0.050,3.500,0,30,92.000,92.000,2177.320,17.500,53.700,22.280,6.980,
0.050,4.000,0,30,117.000,117.000,2183.060,20.000,59.600,27.780,7.070,
0.050,4.500,0,30,127.000,127.000,2156.890,22.500,64.100,29.850,6.920,
0.050,5.000,0,30,138.000,138.000,2177.790,25.000,70.400,33.950,7.100,
0.050,5.500,0,30,142.000,142.000,2191.530,27.500,70.800,37.250,6.750,
0.050,6.000,0,30,151.000,151.000,2139.060,30.000,74.100,39.390,6.790,
0.050,6.500,0,30,148.000,148.000,2142.840,32.500,79.200,41.820,7.110,
0.050,7.000,0,30,145.000,145.000,2098.020,35.000,85.700,44.340,7.070,
0.060,3.000,0,30,89.000,89.000,2176.440,15.000,50.100,20.520,7.030,
0.060,3.500,0,30,92.000,92.000,2177.320,17.500,53.700,22.320,7.010,
0.060,4.000,0,30,117.000,117.000,2183.060,20.000,59.600,27.330,6.980,
0.060,4.500,0,30,127.000,127.000,2156.890,22.500,64.100,30.020,7.000,
0.060,5.000,0,30,138.000,138.000,2177.790,25.000,70.400,34.110,7.200,
0.060,5.500,0,30,142.000,142.000,2191.530,27.500,70.800,37.290,7.170,
0.060,6.000,0,30,151.000,151.000,2100.600,30.000,74.100,40.440,6.750,
0.060,6.500,0,30,148.000,148.000,2142.840,32.500,79.200,41.960,6.890,
0.060,7.000,0,30,145.000,145.000,2098.020,35.000,85.700,44.340,7.350,
0.070,3.000,0,30,89.000,89.000,2206.580,15.000,50.100,20.600,7.040,
0.070,3.500,0,30,92.000,92.000,2177.280,17.500,53.700,22.380,7.230,
0.070,4.000,0,30,117.000,117.000,2183.060,20.000,59.600,27.340,7.440,
0.070,4.500,0,30,127.000,127.000,2156.890,22.500,64.100,30.090,7.690,
0.070,5.000,0,30,138.000,138.000,2177.790,25.000,70.400,34.170,7.520,
0.070,5.500,0,30,142.000,142.000,2191.530,27.500,70.800,37.310,7.750,
0.070,6.000,0,30,151.000,151.000,2100.600,30.000,74.100,40.750,7.420,
0.070,6.500,0,30,148.000,148.000,2141.690,32.500,79.200,42.250,7.460,
0.070,7.000,0,30,146.000,146.000,2098.020,35.000,85.700,44.390,7.370,
0.080,3.000,0,30,89.000,89.000,2190.840,15.000,50.100,20.650,7.390,
0.080,3.500,0,30,92.000,92.000,2177.280,17.500,53.700,22.940,7.540,
0.080,4.000,0,30,117.000,117.000,2197.460,20.000,59.600,27.500,7.520,
0.080,4.500,0,30,126.000,126.000,2156.890,22.500,64.100,30.140,7.420,
0.080,5.000,0,30,138.000,138.000,2177.790,25.000,70.400,34.290,7.470,
0.080,5.500,0,30,142.000,142.000,2191.530,27.500,70.800,37.430,7.370,
0.080,6.000,0,30,160.000,160.000,2099.450,30.000,75.100,41.200,7.170,
0.080,6.500,0,30,148.000,148.000,2141.690,32.500,79.200,42.450,7.190,
0.080,7.000,0,30,147.000,147.000,2174.410,35.000,85.700,45.990,7.350,
0.090,3.000,0,30,89.000,89.000,2190.840,15.000,50.100,20.760,7.330,
0.090,3.500,0,30,92.000,92.000,2177.280,17.500,53.700,23.050,7.330,
0.090,4.000,0,30,117.000,117.000,2197.460,20.000,59.600,27.540,7.470,
