I_U,T_INT,seed,nodes_completed,sim_duration_s,fleet_distance_m,conv_time_min_s,conv_time_max_s,conv_time_mean_s,wall_time_s,error
0.050,3.000,0,20,89.000,1732.260,15.800,77.800,37.290,13.700,
0.050,3.000,1,20,99.000,1919.030,15.300,88.600,44.450,14.170,
0.050,3.000,2,20,111.000,1760.080,15.500,99.900,44.820,16.170,
0.050,3.000,3,20,88.000,1931.230,15.000,77.700,48.020,14.100,
0.050,3.000,4,20,102.000,2035.200,15.100,93.600,42.130,14.360,
0.050,3.000,5,20,95.000,1835.090,18.400,84.700,49.930,13.890,
0.050,3.000,6,20,96.000,1941.750,15.000,83.500,47.750,15.720,
0.050,3.000,7,20,104.000,1654.850,19.800,94.400,44.440,13.590,
0.050,3.000,8,20,96.000,1480.540,15.800,85.200,44.390,13.080,
0.050,3.000,9,20,91.000,1774.270,18.300,80.600,45.070,13.870,
0.050,3.500,0,20,114.000,1732.260,17.600,102.700,43.720,14.830,
0.050,3.500,1,20,112.000,1919.030,19.900,101.300,51.450,15.880,
0.050,3.500,2,20,131.000,1760.080,17.500,119.100,52.540,17.730,
0.050,3.500,3,20,95.000,1931.230,17.500,84.200,53.300,15.740,
0.050,3.500,4,20,111.000,2035.200,17.600,102.700,45.680,16.230,
0.050,3.500,5,20,108.000,1835.090,20.100,97.300,56.150,15.500,
0.050,3.500,6,20,122.000,1941.750,17.500,112.100,56.880,17.760,
0.050,3.500,7,20,113.000,1654.850,21.000,102.500,50.420,15.350,
0.050,3.500,8,20,108.000,1480.540,18.400,98.600,50.600,14.410,
0.050,3.500,9,20,102.000,1774.270,19.500,92.000,49.760,15.470,
0.050,4.000,0,20,125.000,1732.260,20.000,113.500,50.850,15.140,
0.050,4.000,1,20,133.000,1919.030,22.100,121.300,68.420,15.640,
0.050,4.000,2,20,141.000,1760.080,21.700,129.800,57.750,17.620,
0.050,4.000,3,20,105.000,1931.230,20.000,93.000,60.300,15.520,
0.050,4.000,4,20,118.000,2035.200,20.000,109.600,49.790,15.580,
0.050,4.000,5,20,115.000,1835.090,20.000,104.900,66.090,15.320,
0.050,4.000,6,20,135.000,1941.750,20.000,125.300,63.010,17.230,
0.050,4.000,7,20,125.000,1654.850,21.200,114.100,55.770,14.930,
0.050,4.000,8,20,118.000,1480.540,21.000,108.300,54.600,13.830,
0.050,4.000,9,20,112.000,1774.270,20.000,101.600,53.620,14.990,
0.050,4.500,0,20,133.000,1732.260,22.500,121.600,58.240,15.630,
0.050,4.500,1,20,145.000,1919.030,23.800,133.000,73.480,16.250,
0.050,4.500,2,20,153.000,1760.080,24.100,142.000,63.740,18.270,
0.050,4.500,3,20,113.000,1931.230,22.500,100.600,64.720,16.160,
0.050,4.500,4,20,124.000,2035.200,22.500,115.700,59.260,16.650,
0.050,4.500,5,20,128.000,1835.090,22.500,118.000,72.190,15.660,
0.050,4.500,6,20,149.000,1941.750,22.800,139.400,67.140,17.730,
0.050,4.500,7,20,138.000,1654.850,22.500,127.200,61.860,15.390,
0.050,4.500,8,20,128.000,1480.540,25.000,118.000,61.420,14.580,
0.050,4.500,9,20,124.000,1774.270,22.500,114.400,64.480,15.720,
0.050,5.000,0,20,141.000,1732.260,25.000,129.700,63.390,16.270,
0.050,5.000,1,20,154.000,1919.030,25.700,141.500,83.890,16.700,
0.050,5.000,2,20,164.000,1760.080,28.600,152.300,66.660,18.260,
0.050,5.000,3,20,122.000,1931.230,25.000,109.600,70.460,16.660,
0.050,5.000,4,20,130.000,2035.200,25.300,121.800,67.800,16.630,
0.050,5.000,5,20,133.000,1835.090,25.200,122.700,78.450,16.190,
0.050,5.000,6,20,158.000,1941.750,25.000,148.400,77.260,17.510,
0.050,5.000,7,20,150.000,1654.850,25.000,139.700,67.720,15.610,
0.050,5.000,8,20,181.000,1480.540,25.600,171.200,75.600,15.030,
0.050,5.000,9,20,131.000,1774.270,25.100,122.000,69.120,15.610,
0.050,5.500,0,20,156.000,1732.260,27.500,144.900,66.250,14.750,
0.050,5.500,1,20,181.000,1919.030,27.500,169.100,93.950,15.530,
0.050,5.500,2,20,173.000,1760.080,29.400,161.800,73.970,17.330,
0.050,5.500,3,20,153.000,1931.230,28.600,144.700,82.710,15.590,
0.050,5.500,4,20,136.000,2035.200,27.500,127.100,71.530,15.550,
0.050,5.500,5,20,155.000,1835.090,28.000,143.800,89.120,14.940,
0.050,5.500,6,20,164.000,1941.750,27.500,154.400,82.300,17.120,
0.050,5.500,7,20,160.000,1654.850,27.500,149.300,75.880,15.130,
0.050,5.500,8,20,192.000,1480.540,27.600,182.100,82.540,14.560,
0.050,5.500,9,20,147.000,1774.270,30.500,136.400,80.070,15.670,
0.050,6.000,0,20,163.000,1732.260,30.000,151.900,69.930,15.750,
0.050,6.000,1,20,189.000,1919.030,30.300,177.200,100.470,16.430,
0.050,6.000,2,20,185.000,1760.080,31.500,173.700,80.770,18.380,
0.050,6.000,3,20,169.000,1931.230,30.100,160.100,85.930,16.160,
0.050,6.000,4,20,143.000,2035.200,30.100,134.200,81.280,16.230,
0.050,6.000,5,20,162.000,1835.090,34.700,151.500,95.720,15.870,
0.050,6.000,6,20,180.000,1941.750,30.000,170.600,89.550,17.970,
0.050,6.000,7,20,175.000,1654.850,30.000,165.000,82.450,15.280,
0.050,6.000,8,20,206.000,1480.540,30.000,196.200,86.400,14.500,
0.050,6.000,9,20,161.000,1774.270,30.000,150.700,85.300,15.740,
0.050,6.500,0,20,173.000,1732.260,32.500,161.500,72.980,15.910,
0.050,6.500,1,20,199.000,1919.030,33.000,187.600,108.370,16.650,
0.050,6.500,2,20,201.000,1760.080,32.500,189.900,89.210,18.440,
0.050,6.500,3,20,175.000,1931.230,32.500,167.000,90.840,16.290,
0.050,6.500,4,20,165.000,2035.200,32.500,154.500,91.990,16.550,
0.050,6.500,5,20,171.000,1835.090,35.100,159.800,102.500,15.710,
0.050,6.500,6,20,189.000,1941.750,32.500,179.500,95.020,18.050,
0.050,6.500,7,20,184.000,1654.850,32.500,173.300,92.830,15.320,
0.050,6.500,8,20,218.000,1480.540,32.500,208.500,91.720,14.760,
0.050,6.500,9,20,168.000,1774.270,32.500,157.900,89.270,15.920,
0.050,7.000,0,20,178.000,1732.260,35.000,166.800,78.180,16.320,
0.050,7.000,1,20,216.000,1919.030,36.700,204.200,114.380,16.850,
0.050,7.000,2,20,233.000,1760.080,35.000,221.300,96.870,19.040,
0.050,7.000,3,20,185.000,1931.230,36.300,176.500,100.150,16.640,
0.050,7.000,4,20,175.000,2035.200,40.600,164.200,99.760,16.920,
0.050,7.000,5,20,178.000,1835.090,35.600,166.500,105.380,16.120,
0.050,7.000,6,20,196.000,1941.750,35.000,186.600,98.630,18.050,
0.050,7.000,7,20,192.000,1654.850,35.000,181.600,99.050,15.620,
0.050,7.000,8,20,228.000,1480.540,35.000,218.200,100.030,15.120,
0.050,7.000,9,20,175.000,1774.270,35.000,164.200,105.500,16.170,
0.060,3.000,0,20,89.000,1732.260,16.200,77.800,37.640,15.790,
0.060,3.000,1,20,99.000,1919.030,15.300,88.600,44.730,15.930,
0.060,3.000,2,20,111.000,1760.080,15.500,99.900,45.120,17.340,
0.060,3.000,3,20,88.000,1931.230,15.000,77.700,48.250,15.940,
0.060,3.000,4,20,102.000,2035.200,15.100,93.600,42.520,16.040,
0.060,3.000,5,20,98.000,1835.090,18.400,87.500,50.220,15.430,
0.060,3.000,6,20,96.000,1941.750,15.000,83.500,48.180,16.580,
0.060,3.000,7,20,104.000,1654.850,19.800,94.400,44.680,14.780,
0.060,3.000,8,20,96.000,1480.540,15.900,85.200,44.730,14.280,
0.060,3.000,9,20,91.000,1774.270,18.300,80.600,45.350,14.820,
0.060,3.500,0,20,114.000,1732.260,18.100,102.700,44.480,12.490,
0.060,3.500,1,20,112.000,1919.030,20.000,101.300,52.130,10.880,
0.060,3.500,2,20,131.000,1760.080,17.500,119.100,52.960,12.420,
0.060,3.500,3,20,95.000,1931.230,17.500,84.200,54.060,10.890,
0.060,3.500,4,20,111.000,2035.200,17.600,102.700,47.130,11.130,
0.060,3.500,5,20,112.000,1835.090,20.100,101.300,57.200,10.670,
0.060,3.500,6,20,122.000,1941.750,17.500,112.100,58.160,12.050,
0.060,3.500,7,20,113.000,1654.850,21.500,102.500,51.140,10.340,
0.060,3.500,8,20,108.000,1480.540,22.900,98.600,51.330,10.100,
0.060,3.500,9,20,102.000,1774.270,19.500,92.000,50.060,10.800,
0.060,4.000,0,20,125.000,1732.260,20.800,113.500,52.500,10.820,
0.060,4.000,1,20,133.000,1919.030,22.100,121.300,68.940,10.770,
0.060,4.000,2,20,141.000,1760.080,22.500,129.800,58.400,12.160,
0.060,4.000,3,20,106.000,1931.230,20.000,93.400,60.520,10.940,
