I_U,T_INT,seed,nodes_measured,n_targets,total_assignments,sim_elapsed_s,total_survey_time_s,conv_time_min_s,conv_time_max_s,conv_time_mean_s,wall_time_s,error
0.250,3.000,0,70,70,70,219.000,219.000,79.800,205.800,122.950,24.940,
0.250,3.500,0,70,70,70,221.000,221.000,79.800,207.300,124.990,25.260,
0.250,4.000,0,70,70,70,222.000,222.000,79.800,208.200,127.320,25.200,
0.250,4.500,0,70,70,70,222.000,222.000,79.800,208.800,129.810,25.470,
0.250,5.000,0,70,70,70,223.000,223.000,79.800,209.300,132.330,25.340,
0.250,5.500,0,70,70,70,285.000,285.000,79.800,274.300,134.970,25.360,
0.250,6.000,0,70,70,70,286.000,286.000,79.800,275.100,135.850,25.860,
0.250,6.500,0,70,70,70,286.000,286.000,79.800,275.100,136.930,25.550,
0.250,7.000,0,70,70,70,287.000,287.000,79.800,275.100,140.480,25.520,
0.260,3.000,0,70,70,70,234.000,234.000,79.800,220.100,131.630,24.810,
0.260,3.500,0,70,70,70,236.000,236.000,79.800,222.700,135.910,26.950,
0.260,4.000,0,70,70,70,239.000,239.000,79.800,225.100,138.280,26.970,
0.260,4.500,0,70,70,70,286.000,286.000,79.800,275.100,141.800,27.530,
0.260,5.000,0,70,70,70,286.000,286.000,79.800,275.300,145.270,27.290,
0.260,5.500,0,70,70,70,291.000,291.000,79.800,280.100,147.160,26.920,
0.260,6.000,0,70,70,70,291.000,291.000,79.800,280.100,147.820,26.860,
0.260,6.500,0,70,70,70,300.000,300.000,79.800,290.000,148.820,27.510,
0.260,7.000,0,70,70,70,332.000,332.000,79.800,321.600,150.780,26.700,
0.270,3.000,0,70,70,70,239.000,239.000,79.800,225.800,142.620,27.420,
0.270,3.500,0,70,70,70,284.000,284.000,79.800,273.500,147.430,26.970,
0.270,4.000,0,70,70,70,286.000,286.000,79.800,276.000,151.450,29.090,
0.270,4.500,0,70,70,70,292.000,292.000,79.800,281.900,154.060,29.190,
0.270,5.000,0,70,70,70,331.000,331.000,79.800,320.100,156.790,29.650,
0.270,5.500,0,70,70,70,334.000,334.000,79.800,323.200,158.390,30.050,
0.270,6.000,0,70,70,70,336.000,336.000,79.800,325.100,159.330,29.330,
0.270,6.500,0,70,70,70,336.000,336.000,79.800,325.100,159.790,29.470,
0.270,7.000,0,70,70,70,336.000,336.000,79.800,325.100,162.140,29.240,
0.280,3.000,0,70,70,70,284.000,284.000,79.800,273.200,155.830,29.960,
0.280,3.500,0,70,70,70,291.000,291.000,79.800,280.100,159.820,29.420,
0.280,4.000,0,70,70,70,326.000,326.000,79.800,315.100,163.480,29.370,
0.280,4.500,0,70,70,70,331.000,331.000,79.800,320.100,166.470,29.620,
0.280,5.000,0,70,70,70,336.000,336.000,79.800,325.100,167.340,30.530,
0.280,5.500,0,70,70,70,337.000,337.000,79.800,326.300,168.120,30.250,
0.280,6.000,0,70,70,70,341.000,341.000,80.100,330.100,169.420,30.180,
0.280,6.500,0,70,70,70,341.000,341.000,80.100,330.100,169.860,29.360,
0.280,7.000,0,70,70,70,343.000,343.000,80.100,332.200,170.790,30.300,
0.290,3.000,0,70,70,70,291.000,291.000,79.800,280.100,166.130,29.420,
0.290,3.500,0,70,70,70,326.000,326.000,82.200,315.100,171.650,30.540,
0.290,4.000,0,70,70,70,331.000,331.000,82.300,320.100,174.310,29.570,
0.290,4.500,0,70,70,70,336.000,336.000,82.300,325.100,176.780,29.900,
0.290,5.000,0,70,70,70,341.000,341.000,82.400,330.100,179.040,30.540,
0.290,5.500,0,70,70,70,346.000,346.000,82.500,335.100,181.380,30.060,
0.290,6.000,0,70,70,70,346.000,346.000,82.600,335.100,182.500,30.250,
0.290,6.500,0,70,70,70,346.000,346.000,82.800,335.100,182.870,30.350,
0.290,7.000,0,70,70,70,346.000,346.000,83.000,335.100,183.190,30.090,
