I_U,T_INT,seed,nodes_measured,total_assignments,sim_elapsed_s,conv_time_min_s,conv_time_max_s,conv_time_mean_s,wall_time_s,error
0.250,3.000,0,65,75,1080.000,79.800,180.000,133.130,36.050,
0.250,3.000,1,68,78,1080.000,79.800,180.000,130.820,31.620,
0.250,3.000,2,65,75,1080.000,79.800,180.000,135.320,33.420,
0.250,3.000,3,65,75,1080.000,79.800,180.000,132.470,35.420,
0.250,3.000,4,66,76,1080.000,79.800,180.000,135.410,37.190,
0.250,3.000,5,66,76,1080.000,79.800,180.000,133.330,34.210,
0.250,3.000,6,68,78,1080.000,79.800,180.000,126.040,29.940,
0.250,3.000,7,65,75,1080.000,80.700,180.000,132.000,30.820,
0.250,3.000,8,66,76,1080.000,79.800,180.000,132.110,30.700,
0.250,3.000,9,68,78,1080.000,79.800,180.000,129.460,35.080,
0.250,3.500,0,62,72,1080.000,79.800,180.000,138.550,35.440,
0.250,3.500,1,67,77,1080.000,79.800,180.000,132.950,29.760,
0.250,3.500,2,65,75,1080.000,79.800,180.000,135.670,30.190,
0.250,3.500,3,62,72,1080.000,79.800,180.000,136.790,30.920,
0.250,3.500,4,66,76,1080.000,79.800,180.000,132.720,35.590,
0.250,3.500,5,63,73,1080.000,79.800,180.000,137.210,30.750,
0.250,3.500,6,67,77,1080.000,79.800,180.000,128.510,31.340,
0.250,3.500,7,63,73,1080.000,79.800,180.000,136.040,29.740,
0.250,3.500,8,63,73,1080.000,79.800,180.000,137.330,30.680,
0.250,3.500,9,63,73,1080.000,79.800,180.000,137.170,33.550,
0.250,4.000,0,61,71,1080.000,79.800,180.000,144.650,32.350,
0.250,4.000,1,62,72,1080.000,79.800,180.000,139.150,28.040,
0.250,4.000,2,60,70,1080.000,81.000,180.000,144.070,29.140,
0.250,4.000,3,59,69,1080.000,79.800,180.000,143.500,29.130,
0.250,4.000,4,58,68,1080.000,79.800,180.000,149.040,30.520,
0.250,4.000,5,62,72,1080.000,79.800,180.000,138.630,30.020,
0.250,4.000,6,62,72,1080.000,79.800,180.000,138.230,30.590,
0.250,4.000,7,60,70,1080.000,79.800,180.000,145.250,30.280,
0.250,4.000,8,62,72,1080.000,79.800,180.000,144.320,28.590,
0.250,4.000,9,60,70,1080.000,79.800,180.000,140.650,32.840,
0.250,4.500,0,58,68,1080.000,83.000,180.000,147.400,31.230,
0.250,4.500,1,60,70,1080.000,81.100,180.000,146.410,29.530,
0.250,4.500,2,57,67,1080.000,80.100,180.000,152.340,29.560,
0.250,4.500,3,59,69,1080.000,80.900,180.000,148.360,28.690,
0.250,4.500,4,57,67,1080.000,89.400,180.000,150.610,30.570,
0.250,4.500,5,57,67,1080.000,82.900,180.000,151.580,29.230,
0.250,4.500,6,60,70,1080.000,83.500,180.000,145.700,29.870,
0.250,4.500,7,59,69,1080.000,92.500,180.000,146.940,30.470,
0.250,4.500,8,59,69,1080.000,79.800,180.000,149.320,30.910,
0.250,4.500,9,59,69,1080.000,79.800,180.000,146.510,33.100,
0.250,5.000,0,56,66,1080.000,94.900,180.000,154.590,31.120,
0.250,5.000,1,58,68,1080.000,82.300,180.000,153.600,28.170,
0.250,5.000,2,56,66,1080.000,95.100,180.000,154.810,28.580,
0.250,5.000,3,55,65,1080.000,86.900,180.000,153.910,31.350,
0.250,5.000,4,54,64,1080.000,99.700,180.000,157.880,29.590,
0.250,5.000,5,54,64,1080.000,95.900,180.000,156.070,29.690,
0.250,5.000,6,58,68,1080.000,97.500,180.000,148.660,28.750,
0.250,5.000,7,59,69,1080.000,91.700,180.000,152.700,30.760,
0.250,5.000,8,59,69,1080.000,79.800,180.000,150.410,31.510,
0.250,5.000,9,56,66,1080.000,79.800,180.000,151.420,34.050,
0.250,5.500,0,55,65,1080.000,100.600,180.000,156.250,35.520,
0.250,5.500,1,58,68,1080.000,88.500,180.000,154.600,30.380,
0.250,5.500,2,57,67,1080.000,96.000,180.000,155.480,33.630,
0.250,5.500,3,54,64,1080.000,101.600,180.000,159.140,32.870,
0.250,5.500,4,55,65,1080.000,101.300,180.000,157.520,34.110,
0.250,5.500,5,56,66,1080.000,93.200,180.000,153.960,30.720,
0.250,5.500,6,60,70,1080.000,92.000,180.000,146.450,31.380,
0.250,5.500,7,58,68,1080.000,90.600,180.000,153.740,33.540,
0.250,5.500,8,54,64,1080.000,100.900,180.000,155.770,29.340,
0.250,5.500,9,54,64,1080.000,79.800,180.000,153.560,33.340,
0.250,6.000,0,55,65,1080.000,85.000,180.000,156.280,34.570,
0.250,6.000,1,58,68,1080.000,82.400,180.000,148.920,30.070,
0.250,6.000,2,57,67,1080.000,96.500,180.000,154.070,33.120,
0.250,6.000,3,54,64,1080.000,85.500,180.000,154.370,36.690,
0.250,6.000,4,56,66,1080.000,86.900,180.000,154.830,39.370,
0.250,6.000,5,54,64,1080.000,100.800,180.000,155.250,33.230,
0.250,6.000,6,57,67,1080.000,93.500,180.000,150.160,30.680,
0.250,6.000,7,56,66,1080.000,79.800,180.000,154.280,30.140,
0.250,6.000,8,57,67,1080.000,90.800,180.000,154.840,32.220,
0.250,6.000,9,58,68,1080.000,80.100,180.000,149.710,33.940,
0.250,6.500,0,55,65,1080.000,80.700,180.000,155.990,32.900,
0.250,6.500,1,58,68,1080.000,82.900,180.000,152.610,27.820,
0.250,6.500,2,56,66,1080.000,79.800,180.000,154.030,28.850,
0.250,6.500,3,54,64,1080.000,97.300,180.000,155.080,29.250,
0.250,6.500,4,57,67,1080.000,89.500,180.000,155.750,34.160,
0.250,6.500,5,57,67,1080.000,102.500,180.000,154.360,32.100,
0.250,6.500,6,57,67,1080.000,79.800,180.000,148.460,32.390,
0.250,6.500,7,58,68,1080.000,79.800,180.000,152.150,31.930,
0.250,6.500,8,57,67,1080.000,79.800,180.000,154.170,30.350,
0.250,6.500,9,59,69,1080.000,79.800,180.000,145.760,31.760,
0.250,7.000,0,54,64,1080.000,86.300,180.000,158.170,29.970,
0.250,7.000,1,58,68,1080.000,80.100,180.000,151.310,27.700,
0.250,7.000,2,56,66,1080.000,85.600,180.000,154.970,31.110,
0.250,7.000,3,56,66,1080.000,96.700,180.000,153.240,28.330,
0.250,7.000,4,57,67,1080.000,94.000,180.000,153.870,31.050,
0.250,7.000,5,56,66,1080.000,105.700,180.000,156.510,30.500,
0.250,7.000,6,58,68,1080.000,80.900,180.000,149.030,29.790,
0.250,7.000,7,56,66,1080.000,79.800,180.000,153.570,30.260,
0.250,7.000,8,59,69,1080.000,79.800,180.000,150.440,29.660,
0.250,7.000,9,55,65,1080.000,91.900,180.000,151.270,33.920,
0.261,3.000,0,62,72,1080.000,85.500,180.000,139.230,35.350,
0.261,3.000,1,62,72,1080.000,79.800,180.000,138.440,28.300,
0.261,3.000,2,59,69,1080.000,90.100,180.000,144.530,29.270,
0.261,3.000,3,63,73,1080.000,79.800,180.000,137.210,31.460,
0.261,3.000,4,62,72,1080.000,85.400,180.000,143.420,30.810,
0.261,3.000,5,61,71,1080.000,88.300,180.000,140.900,30.250,
0.261,3.000,6,65,75,1080.000,79.800,180.000,132.990,31.400,
0.261,3.000,7,61,71,1080.000,84.500,180.000,140.550,30.280,
0.261,3.000,8,64,74,1080.000,79.800,180.000,137.320,31.670,
0.261,3.000,9,63,73,1080.000,79.800,180.000,138.110,34.000,
0.261,3.500,0,59,69,1080.000,85.100,180.000,146.040,31.940,
0.261,3.500,1,62,72,1080.000,79.800,180.000,142.050,29.370,
0.261,3.500,2,58,68,1080.000,79.800,180.000,146.470,29.580,
0.261,3.500,3,60,70,1080.000,79.800,180.000,146.050,30.280,
0.261,3.500,4,57,67,1080.000,94.700,180.000,150.330,32.140,
0.261,3.500,5,59,69,1080.000,79.800,180.000,144.970,31.410,
0.261,3.500,6,62,72,1080.000,79.800,180.000,139.800,32.990,
0.261,3.500,7,59,69,1080.000,79.800,180.000,143.480,31.560,
0.261,3.500,8,59,69,1080.000,79.800,180.000,147.360,32.360,
0.261,3.500,9,58,68,1080.000,79.800,180.000,144.820,35.940,
0.261,4.000,0,57,67,1080.000,101.600,180.000,154.110,35.420,
0.261,4.000,1,58,68,1080.000,83.000,180.000,146.260,31.460,
0.261,4.000,2,57,67,1080.000,93.700,180.000,155.280,31.380,
0.261,4.000,3,59,69,1080.000,79.800,180.000,151.050,33.530,
0.261,4.000,4,56,66,1080.000,97.000,180.000,154.530,30.880,
0.261,4.000,5,57,67,1080.000,83.400,180.000,146.830,28.040,
0.261,4.000,6,59,69,1080.000,79.900,180.000,146.520,30.650,
0.261,4.000,7,58,68,1080.000,105.800,180.000,152.860,31.100,
